row,col,value
0,0,43.1748024225235
0,1,43.82636946439743
0,2,45.49486118555069
0,3,48.88838076591492
0,4,42.26457414031029
0,5,50.304058998823166
0,6,43.09732708334923
0,7,48.35828587412834
0,8,52.21000427007675
0,9,48.09965118765831
0,10,40.81119531393051
0,11,48.6425715982914
0,12,44.765836507081985
0,13,49.94736087322235
0,14,51.23436790704727
0,15,48.31387600302696
0,16,41.07315218448639
0,17,45.866456031799316
0,18,45.033499509096146
0,19,48.04469057917595
0,20,42.650537580251694
0,21,45.92147269845009
0,22,45.72838181257248
0,23,42.828377693891525
0,24,41.51307898759842
0,25,44.61989349126816
0,26,40.679904133081436
0,27,46.71436533331871
0,28,48.455443531274796
0,29,52.452736139297485
0,30,39.397644340991974
0,31,44.655735313892365
0,32,44.3991836309433
0,33,55.37109488248825
0,34,42.35108369588852
0,35,41.840786188840866
0,36,52.63214588165283
0,37,56.71990752220154
0,38,40.420192539691925
0,39,43.30179777741432
0,40,55.377467811107635
0,41,56.177382469177246
0,42,45.10595911741257
0,43,43.389112800359726
0,44,49.46813729405403
0,45,53.200463593006134
0,46,45.56892582774162
0,47,49.85841131210327
0,48,56.62758266925812
0,49,49.43483284115791
0,50,44.28612610697746
0,51,49.96760082244873
0,52,50.73334950208664
0,53,51.804868936538696
0,54,46.319243758916855
0,55,45.702836990356445
0,56,44.64624673128128
0,57,48.99615406990051
0,58,40.66419604420662
0,59,41.88584515452385
0,60,44.043373584747314
0,61,49.66803187131882
0,62,43.64767372608185
0,63,47.89089646935463
0,64,48.51023891568184
0,65,50.19642436504364
0,66,43.614667266607285
0,67,44.843356102705
0,68,41.490853399038315
0,69,54.17935132980347
0,70,45.75499173998833
0,71,45.93706867098808
0,72,51.475583255290985
0,73,51.17177748680115
0,74,45.55336230993271
0,75,42.85182476043701
0,76,57.697054505348206
0,77,45.52712118625641
0,78,44.795877784490585
0,79,44.83036535978317
0,80,41.176399528980255
0,81,45.84261655807495
0,82,48.2323143184185
0,83,43.386593133211136
0,84,51.754711627960205
0,85,44.56521612405777
0,86,48.29518502950668
0,87,39.80371791124344
0,88,47.49178001284599
0,89,43.15943658351898
0,90,42.65918529033661
0,91,39.743827134370804
0,92,45.83012443780899
0,93,52.60747438669205
0,94,42.91965809464455
0,95,50.66590857505798
0,96,44.27877363562584
0,97,48.725676357746124
0,98,40.628304064273834
0,99,44.2030685544014
0,100,36.59197726845741
0,101,46.60002142190933
0,102,41.05125114321709
0,103,48.774538427591324
0,104,43.97690039873123
0,105,49.142035126686096
0,106,45.422029823064804
0,107,47.073916524648666
0,108,49.2718186378479
0,109,42.86521381139755
0,110,38.99321711063385
0,111,38.644558906555176
0,112,47.400903820991516
0,113,52.316255152225494
0,114,40.13305965065956
0,115,36.295901626348495
0,116,42.561750292778015
0,117,55.04002124071121
0,118,44.64460629224777
0,119,46.27875500917435
0,120,54.810861349105835
0,121,43.287370175123215
0,122,46.39307236671448
0,123,53.05945664644241
0,124,50.66169536113739
0,125,43.481903821229935
0,126,44.56673264503479
0,127,42.578541189432144
0,128,43.8099031150341
0,129,47.76138734817505
0,130,39.357376873493195
0,131,47.467356353998184
0,132,50.21379944682121
0,133,53.46959590911865
0,134,48.59805256128311
0,135,48.533181458711624
0,136,51.38214313983917
0,137,50.58686065673828
0,138,45.38076215982437
0,139,48.48004126548767
0,140,47.22285717725754
0,141,44.986741095781326
0,142,43.88654938340187
0,143,39.67327055335045
0,144,40.785677045583725
0,145,54.495991468429565
0,146,40.36230805516243
0,147,36.02530884742737
0,148,47.591655015945435
0,149,56.8998601436615
0,150,47.86334240436554
0,151,41.99264186620712
0,152,55.43767428398132
0,153,55.087682485580444
0,154,45.21084100008011
0,155,50.8104088306427
0,156,47.86140102148056
0,157,46.43133944272995
0,158,51.557723224163055
0,159,44.23484468460083
0,160,44.84979099035263
0,161,39.91039365530014
0,162,42.2278707921505
0,163,42.562924563884735
0,164,55.627021074295044
0,165,52.4453364610672
0,166,45.79237958788872
0,167,44.572444677352905
0,168,41.34492218494415
0,169,49.24756020307541
0,170,47.66700014472008
0,171,47.07966986298561
0,172,38.29433697462082
0,173,44.862256556749344
0,174,49.312245428562164
0,175,49.64596265554428
0,176,46.10815820097923
0,177,43.13007390499115
0,178,41.23435777425766
0,179,48.772361010313034
0,180,43.74917736649513
0,181,48.07192599773407
0,182,44.91439950466156
0,183,40.7985497713089
0,184,41.85700765252113
0,185,53.47608095407486
0,186,39.99373149871826
0,187,41.828456342220306
0,188,53.36750513315201
0,189,57.192796528339386
0,190,44.65763834118843
0,191,42.13837245106697
0,192,53.1773499250412
0,193,51.60064607858658
0,194,39.235630333423615
0,195,49.76419523358345
0,196,52.22531700134277
0,197,47.08073791861534
0,198,45.68048748373985
0,199,45.10411214828491
0,200,42.226870596408844
0,201,47.14860665798187
0,202,44.164066821336746
