row,col,value
0,0,48.00144907832146
0,1,47.618270844221115
0,2,50.0846089720726
0,3,50.15720134973526
0,4,40.347145795822144
0,5,53.180353462696075
0,6,47.664356559515
0,7,56.086379408836365
0,8,52.300735890865326
0,9,52.410739719867706
0,10,43.03072997927666
0,11,58.19472122192383
0,12,38.42997118830681
0,13,51.82507348060608
0,14,47.142587780952454
0,15,50.15571728348732
0,16,49.37178215384483
0,17,45.29625594615936
0,18,44.55380976200104
0,19,55.66189515590668
0,20,57.2627158164978
0,21,48.798708349466324
0,22,42.931141167879105
0,23,58.2630472779274
0,24,50.97870135307312
0,25,51.029785096645355
0,26,54.78646719455719
0,27,59.915388345718384
0,28,46.58515125513077
0,29,39.44820585846901
0,30,62.95398300886154
0,31,47.60944905877113
0,32,60.96035981178284
0,33,48.89516380429268
0,34,45.801791459321976
0,35,45.189447432756424
0,36,61.61067587137222
0,37,40.08395564556122
0,38,47.256031811237335
0,39,56.43585193157196
0,40,53.088518381118774
0,41,50.8618643283844
0,42,48.30664449930191
0,43,59.92755001783371
0,44,49.829901307821274
0,45,46.416242092847824
0,46,52.968843042850494
0,47,56.03373783826828
0,48,46.61046299338341
0,49,51.9812633395195
0,50,48.61920714378357
0,51,54.94782030582428
0,52,46.18560108542442
0,53,41.75617375969887
0,54,50.14824089407921
0,55,59.04946666955948
0,56,59.51051265001297
0,57,46.49261397123337
0,58,45.094113141298294
0,59,56.98532819747925
0,60,39.78947323560715
0,61,51.47800850868225
0,62,54.924576818943024
0,63,53.74452877044678
0,64,54.565468192100525
0,65,51.81392675638199
0,66,47.3971007168293
0,67,56.25359207391739
0,68,49.68121439218521
0,69,43.073567271232605
0,70,53.00829029083252
0,71,46.748684734106064
0,72,53.03073716163635
0,73,54.16528367996216
0,74,46.33660703897476
0,75,49.95919504761696
0,76,43.98435613512993
0,77,45.68786945939064
0,78,54.29284846782684
0,79,58.507195353507996
0,80,59.66101998090744
0,81,50.96177178621292
0,82,51.18890768289566
0,83,51.13316226005554
0,84,44.273247480392456
0,85,41.62274941802025
0,86,57.349470257759094
0,87,52.65847551822662
0,88,49.89959341287613
0,89,48.8333021402359
0,90,46.44848144054413
0,91,55.06693506240845
0,92,46.12422329187393
0,93,41.092816799879074
0,94,52.470946192741394
0,95,59.90982383489609
0,96,54.16980963945389
0,97,34.47186914086342
0,98,51.45760923624039
0,99,53.846389412879944
0,100,49.382397800683975
0,101,47.02465024590492
0,102,53.90615922212601
0,103,37.914070814847946
0,104,55.67301827669144
0,105,56.16381049156189
0,106,47.80811920762062
0,107,48.68659496307373
0,108,44.4312430024147
0,109,48.77018064260483
0,110,57.396700739860535
0,111,51.833476305007935
0,112,45.01756423711777
0,113,49.13653847575188
0,114,48.06833532452583
0,115,56.41003566980362
0,116,54.48474442958832
0,117,47.941540598869324
0,118,44.319940984249115
0,119,50.71804267168045
0,120,39.76758694648743
0,121,45.498534470796585
0,122,50.03625437617302
0,123,49.548512905836105
0,124,57.846617698669434
0,125,43.0221825838089
0,126,51.86408406496048
